preco,tipo,area,quartos,bairro
700,4,10,1,5
1000,2,11,1,1
700,2,11,1,1
680,2,11,1,4
500,2,12,1,19
500,2,12,1,19
200,0,12,1,2
200,0,12,1,2
500,2,13,1,19
600,2,15,1,19
600,2,15,1,19
950,2,16,1,12
1200,0,17,1,3
500,1,18,1,29
400,1,18,1,4
700,2,19,1,1
590,2,19,1,1
900,2,20,1,1
750,2,20,1,1
570,2,20,1,1
550,2,20,1,29
500,2,20,1,1
350,2,20,1,11
850,2,21,1,1
650,1,21,1,3
630,2,21,1,1
2500,3,22,1,1
1150,2,22,1,1
1100,2,22,1,1
750,2,22,1,1
750,2,22,1,1
750,2,22,1,1
700,2,22,1,1
700,2,22,1,1
700,2,22,1,1
700,2,22,1,1
700,2,22,1,1
700,2,22,1,1
700,2,22,1,1
650,3,22,1,5
148000,2,23,1,4
1800,1,23,1,1
1800,3,23,1,1
1100,1,23,1,1
1100,2,23,1,1
1000,2,23,1,2
800,2,23,1,2
750,2,23,1,1
700,2,23,1,1
700,2,23,1,1
650,2,23,1,1
590,1,23,1,1
350,2,23,1,11
2600,3,24,1,1
2600,3,24,1,1
1400,2,24,1,17
1400,2,24,1,2
1320,2,24,1,2
1300,1,24,1,3
1300,2,24,1,17
1300,2,24,1,2
1200,1,24,1,4
1100,2,24,1,2
1100,2,24,1,1
1050,2,24,1,1
1000,2,24,1,2
1000,2,24,1,6
980,2,24,1,2
950,2,24,1,2
900,2,24,1,2
800,1,24,1,6
800,2,24,1,2
750,1,24,1,15
750,2,24,1,7
650,1,24,1,9
595,2,24,1,1
480,1,24,1,11
480,2,24,1,11
3200,0,25,1,4
2500,3,25,1,1
1950,2,25,1,1
1700,1,25,1,1
1700,1,25,1,1
1700,2,25,1,2
1700,2,25,1,1
1600,1,25,1,3
1500,2,25,1,3
1500,3,25,1,1
1400,2,25,1,3
1400,2,25,1,3
1400,2,25,1,3
1350,2,25,1,3
1300,1,25,1,3
1300,2,25,1,2
1300,2,25,1,3
1300,2,25,1,3
1300,2,25,1,3
1300,2,25,1,3
1300,2,25,1,1
1300,2,25,1,3
1300,2,25,1,3
1300,2,25,1,3
1300,2,25,1,3
1300,2,25,1,2
1300,2,25,1,3
1250,2,25,1,1
1220,2,25,1,3
1200,2,25,1,3
1200,2,25,1,3
1200,2,25,1,3
1200,2,25,1,3
1200,2,25,1,3
1200,2,25,1,1
1100,1,25,1,1
1100,2,25,1,2
1100,2,25,1,2
1100,2,25,1,17
1100,2,25,1,1
1100,2,25,1,1
1100,2,25,1,1
1100,2,25,1,2
1100,2,25,1,1
1000,1,25,1,4
1000,2,25,1,2
1000,2,25,1,1
1000,2,25,1,1
1000,2,25,1,1
1000,2,25,1,2
1000,2,25,1,2
1000,2,25,1,2
1000,2,25,1,1
990,2,25,1,2
950,2,25,1,2
950,2,25,1,1
950,2,25,1,1
950,2,25,1,1
950,2,25,1,1
950,2,25,1,1
900,2,25,1,1
900,2,25,1,1
900,2,25,1,1
900,2,25,1,1
900,2,25,1,2
900,2,25,1,2
900,2,25,1,1
900,2,25,1,1
900,2,25,1,1
900,2,25,1,1
900,2,25,1,3
900,2,25,1,2
900,2,25,1,1
890,2,25,1,1
890,2,25,1,2
850,2,25,1,1
850,2,25,1,2
850,2,25,1,2
850,2,25,1,1
850,2,25,1,2
800,2,25,1,3
800,2,25,1,1
800,2,25,1,2
800,2,25,1,1
800,2,25,1,2
800,2,25,1,1
800,2,25,1,3
800,2,25,1,1
800,2,25,1,1
750,1,25,1,8
750,2,25,1,1
750,2,25,1,1
750,2,25,1,1
750,2,25,1,2
700,2,25,1,1
700,2,25,1,1
670,2,25,1,4
650,2,25,1,1
600,1,25,1,5
600,2,25,1,1
600,2,25,1,1
600,2,25,1,8
590,2,25,1,11
550,2,25,1,25
550,2,25,1,29
500,1,25,1,11
500,2,25,1,10
500,2,25,1,10
450,0,25,1,11
450,1,25,1,10
450,1,25,1,5
3650,1,26,1,2
3650,2,26,1,2
2140,1,26,1,1
1950,1,26,1,17
1689,2,26,1,3
1600,2,26,1,3
1600,2,26,1,3
1600,2,26,1,3
1600,2,26,1,3
1600,2,26,1,3
1600,2,26,1,3
1600,2,26,1,3
1600,3,26,1,17
1300,1,26,1,1
1300,1,26,1,3
1300,2,26,1,3
1290,2,26,1,1
1250,1,26,1,6
1150,1,26,1,1
1150,2,26,1,1
1100,1,26,1,2
1100,2,26,1,16
1100,2,26,1,1
1100,2,26,1,2
1000,2,26,1,3
1000,2,26,1,1
980,2,26,1,1
950,2,26,1,1
900,2,26,1,2
900,2,26,1,1
900,2,26,1,17
900,2,26,1,3
900,2,26,1,3
850,1,26,1,1
850,2,26,1,1
850,2,26,1,1
850,2,26,1,1
850,2,26,1,1
850,2,26,1,1
850,2,26,1,1
788,2,26,1,3
750,2,26,1,2
720,2,26,1,1
700,2,26,1,6
664,2,26,1,1
664,2,26,1,1
600,2,26,1,1
600,2,26,1,1
550,2,26,1,10
550,2,26,1,10
500,1,26,1,5
370,2,26,1,10
350,2,26,1,15
2100,3,27,1,1
2100,3,27,1,1
2100,3,27,1,1
2000,1,27,1,17
1971,1,27,1,1
1971,1,27,1,1
1800,0,27,1,3
1800,1,27,1,17
1800,1,27,1,17
1800,1,27,1,1
1700,1,27,1,2
1700,3,27,1,1
1700,3,27,1,1
1600,1,27,1,4
1600,2,27,1,3
1500,3,27,1,1
1450,2,27,1,2
1400,1,27,1,2
1400,2,27,1,2
